submission_id,sim_AC_ANS,sim_AC_REF,sim_ANS_REF
47,0.5491,0.4658,0.6185
126,0.3806,0.3166,0.4615
13097,0.4299,0.5066,0.4991
20121,0.2426,0.6950,0.3550
20647,0.3422,0.2875,0.3716
27941,0.2343,0.1978,0.2837
33376,0.1941,0.0874,0.4273
45936,0.1493,0.2177,0.3872
46428,0.1291,0.9104,0.1576
52537,0.2346,0.6141,0.2140
52900,0.3044,0.7400,0.2520
55553,0.4010,0.7517,0.4216
59962,0.3459,0.5538,0.5496
60092,0.0833,0.9976,0.0814
65738,0.1335,0.1236,0.1068
65995,0.2604,0.7307,0.4326
73002,0.2640,0.2304,0.4250
73585,0.4554,0.4554,1.0000
79294,0.4370,0.5613,0.4245
92079,0.2908,0.4483,0.4510
92163,0.2541,0.2607,0.7031
99074,0.3890,0.2395,0.2402
99111,0.2338,0.1763,0.4000
105411,0.3098,0.5390,0.5748
112768,0.2972,0.3816,0.4011
118431,0.1298,0.1574,0.7281
119336,0.3276,0.4595,0.2609
119337,0.1129,0.2358,0.1195
125226,0.2951,0.2802,0.4763
132357,0.6005,0.6398,0.6848
132798,0.0377,0.0679,0.0486
145319,0.1498,0.3511,0.2316
146515,0.2336,0.3802,0.4819
152784,0.2260,0.2078,0.2581
159033,0.0807,0.0805,0.4469
159238,0.1407,0.1449,0.9753
159240,0.2735,0.2993,0.3987
171693,0.3030,0.2830,0.6441
178275,0.0922,0.0922,0.8894
178344,0.1297,0.5311,0.4096
184937,0.9272,0.9272,1.0000
185133,0.1313,0.1092,0.3249
186540,0.2457,0.2814,0.2011
188429,0.1950,0.3465,0.3099
191418,0.2388,0.1072,0.1576
192136,0.1511,0.0661,0.1451
195257,0.2739,0.6296,0.3549
199687,0.1588,0.8142,0.1655
200165,0.1877,0.2282,0.1902
211035,0.2434,0.8141,0.3315
211368,0.1665,0.4076,0.1993
218888,0.4011,0.3987,0.8013
219465,0.1150,0.1622,0.3816
220199,0.3040,0.2419,0.4499
224899,0.4124,0.4124,0.5951
225018,0.2601,0.3728,0.5752
226689,0.1263,0.1079,0.3693
230355,0.7409,0.8674,0.7566
231061,0.2058,1.0000,0.2058
236602,0.0840,0.2688,0.0819
236606,0.3386,0.2122,0.4328
243459,0.3255,0.3866,0.9495
246537,0.1204,0.1808,0.4667
246741,0.1423,0.1319,0.2596
249795,0.0087,0.2500,0.0722
249798,0.0853,0.2116,0.1297
249868,0.2055,0.3175,0.4764
256380,0.0531,0.0630,0.7888
256381,0.2364,0.5648,0.2780
269813,0.6280,0.7999,0.6305
276001,0.1066,0.7097,0.2291
282647,0.0710,0.4765,0.2365
294959,0.1753,0.2444,0.2832
301434,0.3991,0.5520,0.5518
301649,0.2638,0.2922,0.3215
308359,0.9487,0.9487,1.0000
308363,0.5636,0.6920,0.9127
308383,0.0318,0.1064,0.3128
308388,0.1092,0.4981,0.0483
308698,0.1310,0.1370,0.1344
308959,0.0819,0.7008,0.2574
314332,0.2492,0.1837,0.9694
315229,0.3063,0.7238,0.3238
317693,0.3810,0.5506,0.2466
321012,0.1282,0.4822,0.1696
321399,0.1168,0.3795,0.1253
327651,0.1656,0.1412,0.1506
328005,0.3458,0.4633,0.2096
328576,0.1810,0.1738,0.4066
338632,0.5570,0.6074,0.4145
350668,0.1340,0.3792,0.1455
350859,0.1162,0.1616,0.1549
357134,1.0000,1.0000,1.0000
364523,0.3304,0.3219,0.6378
371210,0.1947,0.1606,0.6463
372104,0.3893,0.2511,0.2221
373818,0.0734,0.2190,0.2111
386756,0.2597,0.3188,0.4764
387527,0.3881,0.3122,0.5227
393560,0.1504,0.3159,0.3444
394276,0.0909,0.0564,0.1170
396610,0.1633,0.8257,0.1492
399990,0.5601,1.0000,0.5601
400059,0.3917,0.5136,0.3401
401562,0.1536,0.9742,0.1893
401734,0.3022,0.2147,0.6209
402452,0.0819,0.3753,0.2284
402474,0.4114,0.4902,0.6732
405431,0.1634,0.1618,0.2806
405890,0.1046,0.9495,0.1030
406095,0.1078,0.1158,0.1167
408249,0.1066,0.1315,0.3280
414703,0.2815,0.4413,0.3637
428331,0.1380,0.2790,0.1920
434619,0.3119,0.2453,0.4597
435888,0.1437,0.0970,0.3068
440485,0.0860,0.0968,0.1917
441324,0.4834,0.6067,0.5480
441342,0.3191,0.2016,0.3299
441487,0.2313,0.9754,0.2256
442057,0.0896,0.9592,0.1390
451759,0.2040,0.2180,0.7002
465049,0.1855,0.3372,0.3814
465134,0.3196,0.1706,0.1229
