submission_id,sim_AC_ANS,sim_AC_REF,sim_ANS_REF
1,0.3185,0.3417,0.9490
3,0.2668,0.7453,0.3980
6,0.0000,0.2297,0.0000
87,0.0000,0.9992,0.0000
975,0.2957,0.4327,0.3007
4135,0.1489,0.7958,0.1727
11501,0.3889,0.2688,0.2711
11549,0.0000,0.8294,0.0000
11553,0.0000,0.6335,0.0000
11776,0.1777,0.9614,0.1725
11872,0.0000,0.7636,0.0000
15926,0.4606,0.7844,0.5078
16001,0.0000,0.3665,0.0000
16181,0.0000,0.4213,0.0000
16484,0.0000,0.3500,0.0000
17873,0.0000,0.8735,0.0000
19768,0.2993,0.5433,0.2158
19769,0.3626,0.8111,0.3450
19821,0.0352,0.2996,0.1494
19829,0.0000,0.8177,0.0000
20122,0.0000,0.7043,0.0000
31486,0.2500,0.5216,0.3694
31504,0.0000,0.8599,0.0000
31543,0.0000,0.2286,0.0000
31553,0.0000,0.6398,0.0000
31644,0.0000,0.5246,0.0000
31790,0.0000,0.4609,0.0000
35393,0.0000,0.4075,0.0000
35394,0.4561,0.4446,0.5612
35420,0.5004,0.5135,0.5897
35453,0.3645,0.4844,0.2848
35685,0.0000,0.4078,0.0000
37058,0.0000,0.9174,0.0000
43205,0.5208,0.4986,0.6100
43237,0.0000,0.7421,0.0000
43241,0.5101,0.5908,0.5187
43242,0.2587,0.7937,0.3796
43686,0.0000,0.9698,0.0000
45907,0.6128,0.7835,0.6420
45925,0.2718,0.2573,0.2671
45970,0.0514,0.0713,0.5744
46775,0.0000,0.9954,0.0000
47057,0.4669,0.9214,0.5204
55179,0.0000,0.8310,0.0000
55246,0.3165,0.5512,0.6049
55271,0.1028,0.6113,0.1236
55387,0.3174,0.9372,0.3297
55390,0.4686,0.3557,0.4185
55393,0.0000,0.3831,0.0000
55394,0.0000,0.0497,0.0000
55395,0.0000,0.0000,0.0000
55503,0.0000,1.0000,0.0000
56242,0.0000,0.2338,0.0000
56363,0.0000,0.9643,0.0000
56371,0.0000,0.9024,0.0000
64042,0.0000,0.6955,0.0000
64065,0.0000,0.4449,0.0000
64080,0.2616,0.4313,0.5021
64088,0.0000,0.3935,0.0000
64160,0.4032,0.9985,0.3998
69337,0.7182,0.5505,0.4540
69382,0.2908,0.5078,0.3300
69584,0.3828,0.5730,0.3115
69600,0.1455,0.3790,0.3145
69622,0.0000,0.8795,0.0000
75817,0.4865,0.7339,0.4704
75874,0.0000,0.7891,0.0000
75920,0.4446,1.0000,0.4446
76156,0.0000,0.4940,0.0000
76824,0.2003,0.9983,0.2104
83873,0.3241,0.3649,0.6343
83937,0.0000,0.4558,0.0000
83954,0.5520,0.9941,0.5553
84059,0.1725,0.9243,0.2009
84138,0.0000,0.8423,0.0000
91368,0.5824,0.9122,0.6356
91380,0.3544,0.3667,0.4946
91549,0.0000,0.8204,0.0000
91551,0.0000,0.2603,0.0000
91554,0.0000,0.9741,0.0000
96588,0.3359,0.6099,0.5510
96634,0.4545,0.6571,0.6186
96669,0.2053,0.5986,0.2445
98122,0.0000,0.9217,0.0000
101601,0.3107,0.6171,0.2936
101612,0.1980,0.5271,0.6757
101742,0.0000,0.5615,0.0000
101861,0.0000,0.9594,0.0000
101961,0.0000,0.4352,0.0000
108733,0.4575,0.5339,0.6091
108743,0.4416,0.9408,0.4327
109105,0.0000,0.7376,0.0000
112077,0.3929,0.4338,0.5634
112081,0.2167,0.3777,0.4787
112112,0.2652,0.3168,0.2890
112137,0.3486,0.5630,0.5939
112424,0.0000,0.2158,0.0000
113838,0.0000,0.5951,0.0000
118342,0.4826,0.5393,0.7282
118364,0.2997,0.3193,0.4773
118443,0.0000,0.2862,0.0000
118445,0.2104,0.3137,0.6111
119358,0.0000,0.9833,0.0000
129246,0.0000,0.5133,0.0000
129325,0.0000,0.6900,0.0000
129400,0.0000,0.7599,0.0000
129419,0.3772,0.7978,0.4673
129489,0.5063,0.5981,0.4590
133788,0.4095,0.4566,0.5471
133845,0.0000,0.2825,0.0000
133853,0.3911,0.5967,0.4720
134367,0.0000,0.8739,0.0000
135140,0.4641,0.8961,0.5245
143071,0.3619,0.0400,0.0733
143196,0.4560,1.0000,0.4560
143199,0.0000,0.3633,0.0000
143202,0.1408,0.9994,0.1505
143252,0.0000,0.5939,0.0000
147780,0.0000,0.1936,0.0000
147830,0.3636,0.3818,0.4267
147951,0.0000,0.9595,0.0000
148114,0.0000,0.0000,0.0000
148341,0.3392,0.5472,0.4421
156003,0.0000,0.7264,0.0000
156010,0.2880,0.3533,0.6220
156125,0.0000,0.3950,0.0000
156144,0.0000,0.1801,0.0000
156160,0.0000,0.2035,0.0000
161613,0.0000,0.6989,0.0000
161617,0.2707,0.9973,0.2714
161624,0.2759,0.4953,0.4612
162199,0.0000,0.2786,0.0000
164646,0.2112,0.0958,0.2119
168408,0.0000,0.5304,0.0000
168425,0.0000,0.8890,0.0000
168892,0.0000,0.4525,0.0000
168932,0.0000,0.6145,0.0000
169147,0.1603,0.5107,0.1114
174497,0.0000,0.0000,0.0000
174534,0.0000,0.2409,0.0000
174673,0.0000,0.9865,0.0000
175068,0.0000,0.8965,0.0000
175836,0.0000,0.5520,0.0000
178292,0.4174,0.9758,0.4278
178306,0.0000,0.5931,0.0000
178372,0.5408,0.7118,0.6191
178390,0.5442,0.5617,0.5880
178590,0.2775,0.3808,0.7660
178639,0.0000,0.4108,0.0000
185739,0.0000,0.5823,0.0000
185783,0.4616,0.8646,0.5339
185877,0.0000,0.7342,0.0000
185883,0.2464,0.4891,0.4918
186506,0.0859,0.8795,0.0692
192311,0.4262,0.2820,0.3319
192365,0.3718,0.3034,0.4516
192392,0.2024,0.2333,0.4692
192461,0.0000,0.9986,0.0000
193179,0.0000,0.9108,0.0000
193180,0.0000,0.8745,0.0000
193181,0.0000,0.8954,0.0000
194640,0.3620,0.9244,0.3902
200168,0.2338,0.3813,0.4238
200214,0.2094,0.6647,0.2955
200270,0.2615,0.3625,0.5687
200570,0.2987,0.3374,0.8899
200724,0.0000,0.9914,0.0000
201028,0.3420,0.5182,0.3235
208621,0.1457,0.4025,0.1512
208643,0.4638,0.8962,0.4619
208759,0.0000,0.5310,0.0000
208764,0.2829,0.8629,0.2735
209531,0.3424,0.5815,0.4453
210995,0.1030,0.2236,0.1971
210996,0.3651,0.2952,0.6642
211002,0.3211,0.4003,0.5551
211122,0.0000,0.9984,0.0000
213660,0.3291,0.9823,0.3375
217915,0.2132,0.9137,0.2035
218045,0.4263,0.7242,0.5433
218090,0.5156,0.6709,0.7249
218317,0.4025,0.4004,0.5204
218458,0.0000,0.5873,0.0000
224151,0.4118,0.4164,0.3745
224206,0.3334,0.4282,0.4750
224283,0.1363,0.1561,0.3903
224339,0.2199,0.2596,0.6653
224382,0.2291,0.7797,0.2107
224402,0.0000,0.4802,0.0000
230363,0.0000,0.9416,0.0000
230367,0.7877,0.0000,0.0000
230535,0.3224,0.5042,0.5522
230632,0.1462,0.5224,0.2560
230661,0.0000,0.0000,0.0000
239732,0.1306,0.1258,0.9786
239736,0.0000,0.9939,0.0000
239747,0.0000,0.1614,0.0000
239856,0.0000,0.9915,0.0000
239869,0.0000,0.6340,0.0000
240349,0.0000,0.1443,0.0000
241063,0.0000,0.9703,0.0000
244637,0.1689,0.9388,0.1822
244645,0.2883,0.8137,0.3845
244665,0.6186,0.5041,0.3848
244683,0.3768,0.5823,0.6638
245547,0.0000,0.3096,0.0000
246046,0.4070,0.4507,0.7083
249797,0.0000,0.6508,0.0000
249812,0.0702,0.1040,0.6060
249813,0.1711,0.2367,0.6797
249912,0.2038,0.8100,0.0399
250022,0.4554,0.8623,0.3940
258060,0.3579,0.2691,0.3554
258061,0.5822,0.5576,0.5622
258140,0.0000,0.6643,0.0000
258182,0.0000,0.5370,0.0000
258213,0.0000,0.9950,0.0000
258309,0.7145,0.8989,0.7916
268137,0.0000,0.4873,0.0000
268145,0.2263,1.0000,0.2263
268270,0.0000,0.8783,0.0000
268565,0.0000,0.5365,0.0000
268633,0.0000,0.2442,0.0000
272360,0.4864,0.5682,0.6510
272361,0.6762,1.0000,0.6762
272485,0.3874,0.8734,0.4149
273055,0.3776,0.9766,0.3623
273966,0.0000,0.4330,0.0000
276028,0.0000,0.7567,0.0000
276232,0.0000,0.1938,0.0000
276289,0.2354,0.3643,0.6006
277093,0.0000,0.4926,0.0000
279022,0.0000,0.6945,0.0000
284580,0.0000,0.0000,0.0000
284581,0.3913,0.3280,0.5545
284587,0.1795,0.2287,0.6516
284588,0.0000,1.0000,0.0000
285001,0.0000,0.5772,0.0000
285017,0.2370,0.3594,0.3574
285795,0.3003,0.5323,0.2106
293441,0.2885,0.9715,0.2637
293546,0.2934,0.2881,0.3494
293603,0.1719,0.1390,0.6004
293768,0.3385,0.9561,0.3334
293810,0.0000,1.0000,0.0000
293824,0.0000,1.0000,0.0000
297601,0.1984,0.1818,0.3685
297611,0.2742,0.2742,1.0000
297638,0.3262,0.2953,0.7282
297766,0.0000,0.6406,0.0000
297792,0.4044,0.8575,0.4471
297839,0.4010,0.8525,0.4834
303112,0.2920,0.2802,0.4536
303113,0.2119,0.3380,0.3328
303119,0.2114,0.5265,0.2356
303554,0.2624,0.4142,0.4242
304310,0.0000,0.7102,0.0000
307903,0.4803,0.5083,0.4314
307911,0.3057,0.4807,0.4447
307917,0.5516,0.7456,0.4446
307952,0.7710,0.9090,0.8199
307987,0.8690,0.8845,0.9782
307992,0.0000,0.4281,0.0000
308031,0.1360,0.2751,0.3653
308042,0.0000,0.4838,0.0000
308143,0.0000,0.0933,0.0000
308145,0.0000,0.2008,0.0000
308146,0.1381,0.0906,0.4834
308148,0.0000,0.2014,0.0000
308151,0.1551,0.1902,0.4800
308152,0.0615,0.0749,0.4869
308153,0.0000,0.1556,0.0000
